Time,PPM
1958,315.9808333
1959,316.91
1960,317.6441667
1961,318.4541667
1962,318.9925
1963,319.6166667
1964,320.0358333
1965,321.3691667
1966,322.1808333
1967,323.05
1968,324.6233333
1969,325.6816667
1970,326.3191667
1971,327.4566667
1972,329.6775
1973,330.1908333
1974,331.1291667
1975,332.0266667
1976,333.8441667
1977,335.415
1978,336.835
1979,338.7625
1980,340.12
1981,341.4783333
1982,343.1525
1983,344.8675
1984,346.3516667
1985,347.6083333
1986,349.3116667
1987,351.69
1988,353.205
1989,354.4525
1990,355.7041667
1991,356.5458333
1992,357.215
1993,358.9591667
1994,360.9683333
1995,362.7433333
1996,363.8775
1997,366.84
1998,368.54
1999,369.7075
2000,371.3191667
2001,373.4525
2002,375.9833333
2003,377.6983333
2004,379.9833333
2005,382.0908333
2006,384.025
2007,385.8308333
2008,387.6425
2009,390.1016667
2010,391.8508333
2011,394.0558333
2012,396.7375
2013,398.8125
2014,401.0125
2015,404.4125
2016,406.7583333
2017,408.715
2018,411.6541667
2019,414.2383333
2020,416.4508333
2021,418.5641667
